TimeStamp,LShoulderRoll,LElbowRoll,RShoulderRoll,RElbowRoll,HeadYaw,HeadPitch,LShoulderPitch,RShoulderPitch,LElbowYaw,RElbowYaw,HipRoll,HipPitch
4.119343706896552,0.0,-0.10022592523969939,0.0,0.05931225802472442,0.0,-0.014578829085143581,1.4669623355095482,1.4614087052904776,-1.5707963267948966,1.5707963267948966,-0.031172030068140004,0.0
8.120991879310344,0.0,-0.06343075688516135,0.0,0.0657176033941076,0.19399327107848302,-0.002872015657848542,1.474420224063005,1.471579006762661,-1.5707963267948966,1.5707963267948966,-0.03240736187454278,0.0
12.122640051724137,1.1808714990166662,-0.3664320671776327,-1.3856202775484696,0.060833772253875575,0.3474245508589148,0.13189571730374738,-0.15584784378507469,-0.18517604924642775,0.0,0.0,0.013915755625754221,0.0
16.12428822413793,0.22726789709655892,-0.005823209301153526,-0.19900113902547248,0.05702232154514932,0.0,-0.10165486204760994,1.3435284296983379,1.3717951877694243,-1.5707963267948966,1.5707963267948966,-0.029736879306294813,0.0
20.125936396551726,0.852270221916888,-0.3883801340632703,-0.9520899341844942,0.07107325820243814,0.23661946124450792,0.0,0.5788418064777937,0.6187063926104023,1.5707963267948966,-1.5707963267948966,-0.04136511120422571,0.0
24.127584568965517,1.2291361557475944,-0.3538571867348737,-1.5480263571826052,0.04628497200291316,0.3232358536186811,0.08627157275815478,-0.1275274703867559,-0.022769969612291246,0.0,0.0,-0.027668729724588823,0.0
28.12923274137931,0.23516500141747376,-0.10971785016636783,-0.3092427047754132,0.10464406137122988,0.17400946378512944,-0.04010066673522832,1.320645218729654,1.2615536220194832,-1.5707963267948966,1.5707963267948966,-0.060042993266523854,0.0
32.248576448275855,1.2652997715768879,-0.3004044117901874,-1.3617039616263598,0.05628807959998161,0.3004426372743669,0.11080988574167967,-0.16188505427177896,-0.20909236516853663,0.0,0.0,-0.004096245519599407,0.0
36.367920155172406,1.105623781694967,-0.2533185187965225,-1.2786111345924636,0.02289024681374997,0.32698281748618496,0.0,0.3905018558934508,0.292185192202433,1.5707963267948966,-1.5707963267948966,-0.052086772006011514,0.0
38.367920155172406,0.0,0.0,0.0,0.0,0.0,0.0,1.5707963267948966,1.5707963267948966,-1.5707963267948966,1.5707963267948966,0.0,0.0
